"V1"|"V2"
"872"|"100961"|"101266"
"873"|"100961"|"102644"
"874"|"100962"|"107396"
"875"|"100964"|"102748"
"876"|"100964"|"102413"
"877"|"100964"|"100497"
"878"|"100965"|"101851"
"879"|"100965"|"101110"
"880"|"100973"|"107630"
"881"|"100973"|"100523"
"882"|"100973"|"106613"
"883"|"100973"|"105482"
"884"|"100973"|"102184"
"885"|"100973"|"107556"
"886"|"100973"|"104410"
"887"|"100973"|"105277"
"888"|"100973"|"103866"
"889"|"100973"|"102617"
"890"|"100973"|"100854"
"891"|"100973"|"103939"
"892"|"100973"|"109325"
"893"|"100973"|"104383"
"894"|"100973"|"107605"
"895"|"100980"|"106952"
"896"|"100980"|"105502"
"897"|"100980"|"107011"
"898"|"100980"|"103849"
"899"|"100980"|"101002"
"900"|"100980"|"103068"
"901"|"100980"|"101547"
"902"|"100980"|"105484"
"903"|"100980"|"106321"
"904"|"100980"|"102288"
"905"|"100980"|"103872"
"906"|"100980"|"102873"
"907"|"100980"|"105950"
"908"|"100989"|"101308"
"909"|"100989"|"107427"
"910"|"100989"|"105302"
"911"|"100989"|"107142"
"912"|"100989"|"109649"
"913"|"100989"|"106683"
"914"|"100989"|"103456"
"915"|"100989"|"108561"
"916"|"100989"|"108836"
"917"|"100989"|"108562"
"918"|"100989"|"100841"
"919"|"100989"|"100937"
"920"|"100989"|"100658"
"921"|"100989"|"100934"
"922"|"101002"|"101595"
"923"|"101002"|"103872"
"924"|"101002"|"102288"
"925"|"101002"|"102768"
"926"|"101002"|"103929"
"927"|"101002"|"102769"
"928"|"101002"|"102600"
"929"|"101002"|"102582"
"930"|"101002"|"106712"
"931"|"101002"|"103554"
"932"|"101002"|"103567"
"933"|"101002"|"104294"
"934"|"101002"|"104295"
"935"|"101002"|"102995"
"936"|"101002"|"109406"
"937"|"101013"|"102273"
"938"|"101013"|"105795"
"939"|"101013"|"105110"
"940"|"101013"|"109305"
"941"|"101013"|"109296"
"942"|"101013"|"107277"
"943"|"101013"|"106199"
"944"|"101017"|"103299"
"945"|"101017"|"106180"
"946"|"101017"|"104137"
"947"|"101017"|"100457"
"948"|"101017"|"105955"
"949"|"101017"|"105632"
"950"|"101017"|"103845"
"951"|"101022"|"101547"
"952"|"101022"|"109093"
"953"|"101022"|"107199"
"954"|"101022"|"103929"
"955"|"101028"|"101030"
"956"|"101028"|"107705"
"957"|"101028"|"106412"
"958"|"101028"|"105275"
"959"|"101028"|"100797"
"960"|"101028"|"101620"
"961"|"101028"|"100953"
"962"|"101028"|"104679"
"963"|"101028"|"102450"
"964"|"101028"|"108666"
"965"|"101028"|"100828"
"966"|"101028"|"104629"
"967"|"101030"|"106992"
"968"|"101030"|"101266"
"969"|"101030"|"107292"
"970"|"101052"|"109963"
"971"|"101052"|"103299"
"972"|"101052"|"106375"
"973"|"101052"|"104629"
"974"|"101052"|"103962"
"975"|"101052"|"103675"
"976"|"101052"|"104642"
"977"|"101052"|"106729"
"978"|"101052"|"100597"
"979"|"101052"|"108598"
"980"|"101052"|"104137"
"981"|"101052"|"103939"
"982"|"101052"|"105955"
"983"|"101052"|"108684"
"984"|"101052"|"101101"
"985"|"101062"|"104927"
"986"|"101080"|"103405"
"987"|"101080"|"108532"
"988"|"101080"|"105314"
"989"|"101080"|"105081"
"990"|"101080"|"100973"
"991"|"101080"|"101986"
"992"|"101080"|"103697"
"993"|"101090"|"108796"
"994"|"101090"|"102424"
"995"|"101090"|"109710"
