state|county|totpop|totalhouseholds|whitepct|blackpct|asianpct|hispanpct|foreignlangpct|average_household_size|home_own_pct|median_home_value|median_rent|pct_moved_last_two_years|median_income|percent_poor|healthpct|bachelorpct|firstreg|secondreg|thirdreg
"Iowa"|"Ringgold County"|4964|1971|.9591056|.0008058|.0098711|.0251813|.0940774|2.41|.7721968|98700|667|.025|55271|.044|.9182111|.1035455|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Sac County"|9802|4313|.9735768|.0072434|.0045909|.0314222|.0896756|2.23|.793879|95800|625|.011|58232|.071|.9404203|.1008978|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
"Iowa"|"Scott County"|172446|67021|.8561869|.0751192|.0272433|.0672094|.1260105|2.52|.6902165|163200|793|.008|61183|.08|.9453336|.1350278|"Catholic"|"Mainline Protestant"|"Evangelical Protestant"
"Iowa"|"Shelby County"|11606|5030|.9690678|.0075823|.0018956|.029726|.0780631|2.27|.7745527|121200|643|.023|58000|.067|.9327073|.1188179|"Catholic"|"Evangelical Protestant"|"Congregational Methodist"
"Iowa"|"Sioux County"|34827|12248|.9455308|.003503|.0073793|.1074741|.1572918|2.66|.8033965|167500|726|.013|69844|.04|.9467942|.1198208|"Mainline Protestant"|"Evangelical Protestant"|"Protestant Reformed"
"Iowa"|"Story County"|96941|37811|.860606|.0228283|.0804097|.0345365|.1500088|2.28|.5351617|185800|905|.017|56756|.05|.9488142|.1561362|"Mainline Protestant"|"Evangelical Protestant"|"Evangelical Lutheran"
"Iowa"|"Tama County"|17032|6767|.8778769|.0092179|.0045796|.0978159|.1758455|2.46|.757943|110400|722|.015|56037|.074|.914279|.0799671|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Taylor County"|6167|2616|.9458408|.0001622|.0102157|.0770229|.1229123|2.32|.7824923|80600|568|.015|50431|.044|.9100049|.0766986|"Mainline Protestant"|"United Methodist"|"American Baptist"
"Iowa"|"Union County"|12358|5176|.966904|.005017|.0145655|.0298592|.1056805|2.33|.7040185|104000|609|.02|49900|.095|.9284674|.0828613|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Van Buren County"|7150|2894|.9734266|.0067133|.0051748|.0158042|.1188811|2.44|.8130615|92800|571|.017|48591|.078|.874965|.0648951|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Wapello County"|35141|14481|.8732535|.0355141|.0122933|.1077659|.1748954|2.37|.7152131|82100|718|.017|46246|.127|.9333826|.0781993|"Evangelical Protestant"|"Mainline Protestant"|"Catholic"
"Iowa"|"Warren County"|50076|19258|.9603802|.0051921|.0069494|.0284168|.0826743|2.51|.7900613|187200|807|.014|77048|.061|.9620177|.1496725|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Washington County"|22100|8832|.9521719|.0077828|.0059729|.0616742|.1491855|2.46|.7095788|151600|754|.019|62556|.081|.9079186|.1028507|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Wayne County"|6429|2689|.9721574|.0029554|.0009333|.0158656|.1687665|2.35|.8110822|81100|524|.019|44768|.121|.8749416|.0595738|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Webster County"|36545|15306|.906362|.0472568|.0137091|.0502942|.0962102|2.2|.6799948|99100|642|.015|47466|.098|.8984813|.0980982|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Iowa"|"Winnebago County"|10534|4577|.9486425|.0171825|.0127207|.0464211|.0992975|2.16|.7603233|94800|620|.022|49870|.061|.9570913|.1116385|"Mainline Protestant"|"Evangelical Lutheran"|"United Methodist"
"Iowa"|"Winneshiek County"|20262|8257|.9669825|.0152009|.0065147|.0224558|.0756589|2.18|.7933874|177300|702|.013|65263|.046|.9683644|.1219031|"Mainline Protestant"|"Evangelical Lutheran"|"Catholic"
"Iowa"|"Woodbury County"|102586|39016|.8574172|.0361258|.0283469|.1661923|.2233541|2.56|.6644453|123300|787|.01|59224|.097|.9337239|.1020022|"Catholic"|"Mainline Protestant"|"Evangelical Protestant"
"Iowa"|"Worth County"|7445|3172|.9649429|.0162525|.003358|.0298187|.0674278|2.31|.7758512|106700|591|.017|57130|.061|.9447952|.0913365|"Mainline Protestant"|"Evangelical Lutheran"|"United Methodist"
"Iowa"|"Wright County"|12739|5718|.9342178|.0038465|.0052594|.1209671|.1530732|2.19|.7170339|85500|626|.018|53333|.079|.9401052|.0917654|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
"Kansas"|"Allen County"|12556|5372|.9304715|.0099554|.0074865|.0355209|.0802007|2.26|.7075577|79300|675|.027|45333|.136|.9331794|.0873686|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Kansas"|"Anderson County"|7835|3101|.9670708|.0049777|.0001276|.0188896|.08194|2.49|.7436311|95700|647|.033|50213|.109|.8758137|.0696873|"Catholic"|"Evangelical Protestant"|"Mainline Protestant"
"Kansas"|"Atchison County"|16268|5958|.8956233|.0293214|.0047947|.0304278|.0687853|2.48|.6936892|110400|660|.022|50439|.105|.9232849|.0803418|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
